,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,10.540195026196791,4.747613233560912,0.0,0.0,-2.3777992006083503e-09,0.0,0.0,4.000085345834189,-12.1452944519,0.0,0.0,0.7475278877267231,0.0,-7.77169514011498e-09,0.0,0.05427208752555053,-0.004507386427619137,0.17515503600048474,0.0,0.0,0.0
2.0,10.540193549306737,4.747613236656562,0.0,0.0,-5.031174810145673e-09,0.0,0.0,4.000085342152543,-12.1452944519,0.0,0.0,0.7475278945040191,0.0,-1.6444097672278373e-08,0.0,0.05427208755468174,-0.004507386620227226,0.17515503668305168,0.0,0.0,0.0
3.0,10.540192084637638,4.747613236916047,0.0,0.0,-7.957137239782398e-09,0.0,0.0,4.000085335680978,-12.1452944519,0.0,0.0,0.7475279012350695,0.0,-2.6007436649094783e-08,0.0,0.05427208757110752,-0.004507386872724638,0.17515503735658372,0.0,0.0,0.0
4.0,10.540190632099172,4.74761323407161,0.0,0.0,-1.1152684217387147e-08,0.0,0.0,4.000085326148406,-12.1452944519,0.0,0.0,0.747527907923204,0.0,-3.645189965719514e-08,0.0,0.054272087573479746,-0.004507387188253151,0.17515503801367688,0.0,0.0,0.0
5.0,10.540189191602858,4.747613227858651,0.0,0.0,-1.4614800797360313e-08,0.0,0.0,4.000085313286752,-12.1452944519,0.0,0.0,0.7475279145718989,0.0,-4.776763284952935e-08,0.0,0.05427208756046589,-0.004507387569913333,0.17515503864700355,0.0,0.0,0.0
6.0,10.540187763062033,4.7476132180157355,0.0,0.0,-1.83404593807769e-08,0.0,0.0,4.0000852968309575,-12.1452944519,0.0,0.0,0.7475279211847781,0.0,-5.994474101135097e-08,0.0,0.05427208753074922,-0.004507388020764357,0.1751550392493127,0.0,0.0,0.0
7.0,10.54018634639182,4.7476132042846055,0.0,0.0,-2.232661974020977e-08,0.0,0.0,4.000085276518999,-12.1452944519,0.0,0.0,0.7475279277656064,0.0,-7.297328764149671e-08,0.0,0.05427208748302863,-0.0045073885438239175,0.17515503981343003,0.0,0.0,0.0
8.0,10.540184941509104,4.747613186410191,0.0,0.0,-2.6570229052435465e-08,0.0,0.0,4.0000852520919015,-12.1452944519,0.0,0.0,0.7475279343182892,0.0,-8.684329505942675e-08,0.0,0.05427208741601887,-0.004507389142068129,0.1751550403322585,0.0,0.0,0.0
9.0,10.540183548332502,4.747613164140621,0.0,0.0,-3.106822193814609e-08,0.0,0.0,4.0000852232937465,-12.1452944519,0.0,0.0,0.7475279408468749,0.0,-1.0154474453516121e-07,0.0,0.05427208732845057,-0.004507389818431247,0.17515504079877853,0.0,0.0,0.0
10.0,10.540182166782337,4.747613137227234,0.0,0.0,-3.581752051002701e-08,0.0,0.0,4.0000851898716885,-12.1452944519,0.0,0.0,0.7475279473555458,0.0,-1.1706757644655724e-07,0.0,0.05427208721907021,-0.004507390575805688,0.17515504120604802,0.0,0.0,0.0
11.0,10.540180796780609,4.747613105424587,0.0,0.0,-4.081503442279312e-08,0.0,0.0,4.000085151575966,-12.1452944519,0.0,0.0,0.7475279538486204,0.0,-1.334016904429851e-07,0.0,0.054272087086640275,-0.004507391417041866,0.17515504154720296,0.0,0.0,0.0
12.0,10.540179438250972,4.747613068490466,0.0,0.0,-4.6057660938789855e-08,0.0,0.0,4.000085108159915,-12.1452944519,0.0,0.0,0.7475279603305509,0.0,-1.5053694565987427e-07,0.0,0.054272086929939234,-0.004507392344947986,0.17515504181545757,0.0,0.0,0.0
13.0,10.540178091118701,4.747613026185901,0.0,0.0,-5.154228499080305e-08,0.0,0.0,4.000085059379979,-12.1452944519,0.0,0.0,0.7475279668059223,0.0,-1.6846316092413438e-07,0.0,0.05427208674776164,-0.004507393362290023,0.17515504200410453,0.0,0.0,0.0
14.0,10.540176755310672,4.7476129782751695,0.0,0.0,-5.726577925743289e-08,0.0,0.0,4.0000850049957215,-12.1452944519,0.0,0.0,0.747527973279448,0.0,-1.8717011500063927e-07,0.0,0.054272086538918136,-0.004507394471791555,0.17515504210651534,0.0,0.0,0.0
15.0,10.54017543075533,4.747612924525812,0.0,0.0,-6.322500424487025e-08,0.0,0.0,4.000084944769843,-12.1452944519,0.0,0.0,0.7475279797559686,0.0,-2.0664754685963453e-07,0.0,0.05427208630223556,-0.004507395676133577,0.17515504211614058,0.0,0.0,0.0
16.0,10.540174117382666,4.747612864708637,0.0,0.0,-6.94168083726854e-08,0.0,0.0,4.000084878468186,-12.1452944519,0.0,0.0,0.7475279862404509,0.0,-2.2688515595725725e-07,0.0,0.05427208603655694,-0.004507396977954506,0.1751550420265101,0.0,0.0,0.0
17.0,10.540172815124192,4.74761279859774,0.0,0.0,-7.583802806852916e-08,0.0,0.0,4.000084805859754,-12.1452944519,0.0,0.0,0.7475279927379859,0.0,-2.4787260254518383e-07,0.0,0.054272085740741605,-0.004507398379849932,0.17515504183123345,0.0,0.0,0.0
18.0,10.54017152391291,4.747612725970502,0.0,0.0,-8.248548786738285e-08,0.0,0.0,4.000084726716717,-12.1452944519,0.0,0.0,0.7475279992537844,0.0,-2.695995079951432e-07,0.0,0.05427208541366517,-0.004507399884372626,0.17515504152399997,0.0,0.0,0.0
