,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,12.342836942401654,3.0000213987159587,-0.07221564972355816,-0.00014037244934887423,8.644960662146884e-07,0.0023566685814769657,0.02755636976910781,3.4095153719779234,-7.2157,-0.3464260591,0.0,-0.4094939732619647,-0.00039179249492116906,2.412888513400477e-06,0.006577680075556776,0.03965891244072997,-0.0020781535503687568,0.10763571184243412,0.0007704463053903731,0.0009200513133865427,5.4218737032803795e-06
2.0,12.342835432057367,3.0000220975157945,-0.0745328081782363,-0.00014027974072581203,5.995345270094164e-07,0.0023567320290861405,0.02755644490154235,3.4095149704885865,-7.2157,-0.3464260591,0.0,-0.409492872972792,-0.00039153378448623585,1.673356545112073e-06,0.0065778579686113885,0.039658915624698934,-0.002078162694862308,0.10763577897855156,0.000800110285705115,0.0009200504345277254,1.0832133265815925e-05
3.0,12.342833927101855,3.000022531699732,-0.07684841246826343,-0.00014012572869996203,3.3526643918118523e-07,0.0023568375527244926,0.02755664844635425,3.409514304325776,-7.2157,-0.3464260591,0.0,-0.40949177262604364,-0.00039110397030572125,9.35759882860532e-07,0.00657815329695708,0.03965891788109512,-0.0020781753292171204,0.10763583960323128,0.0008297571812284246,0.0009200490826821281,1.6230875748599342e-05
4.0,12.342832428459955,3.0000227023241046,-0.07916250231073908,-0.00013991110450739625,7.18415513438418e-08,0.002356985063213919,0.02755704387418246,3.409513374231141,-7.2157,-0.3464260591,0.0,-0.4094906719070366,-0.0003905049815928836,2.0051649069533342e-07,0.006578565811239066,0.039658919213195476,-0.002078191428859018,0.10763589371351912,0.0008593874925701005,0.000920047263354809,2.161821099100136e-05
5.0,12.342830937046068,3.000022610599248,-0.08147511734892543,-0.00013963679323893304,-1.9059220703283256e-07,0.0023571744722973515,0.02755769384198026,3.40951218109266,-7.2157,-0.3464260591,0.0,-0.40948957049341184,-0.00038973940027347626,-5.319607443195246e-07,0.006579095264678232,0.03965891962482071,-0.0020782109672815435,0.10763594131051912,0.000889001719477036,0.0009200449839864819,2.699424849312459e-05
6.0,12.342829453763638,3.0000222578868505,-0.08378629716535593,-0.00013930395015724628,-4.5188922925050397e-07,0.002357405692634666,0.027558659960989485,3.409510725942601,-7.2157,-0.3464260591,0.0,-0.4094884680557507,-0.00038881045070697246,-1.2612654177874032e-06,0.006579741413059912,0.039658919120327485,-0.0020782339161165425,0.10763598239942523,0.0009186003610022522,0.000920042253923191,3.235909744697603e-05
7.0,12.342827979504628,3.0000216456967665,-0.08609608129471531,-0.0001389139561580422,-7.119067258906987e-07,0.002357678637798413,0.027560002568826562,3.409509009955,-7.2157,-0.3464260591,0.0,-0.4094873642582333,-0.0003877219870187821,-1.986998988210713e-06,0.006580504014722169,0.03965891770459859,-0.0020782602452112803,0.10763601698953841,0.0009481839156709213,0.000920039084378898,3.771286676711847e-05
8.0,12.342826515149012,3.000020775683308,-0.08840450923644659,-0.0001384684123930295,-9.705052084537167e-07,0.0023579932222693727,0.027561780506527744,3.409507034442651,-7.2157,-0.3464260591,0.0,-0.4094862587593431,-0.00038647847809293107,-2.7087721268864404e-06,0.006581382830543592,0.03965891538303137,-0.002078289922711772,0.10763604509426883,0.0009777528816428105,0.0009200354883911238,4.3055665120694266e-05
9.0,12.342825061564293,3.0000196496410276,-0.09071162046704166,-0.00013796913407552284,-1.2275489604153462e-06,0.0023583493614319595,0.027564050901381507,3.409504800853635,-7.2157,-0.3464260591,0.0,-0.4094851512126074,-0.00038508499028336524,-3.4262060326851215e-06,0.0065823776239306315,0.03965891216152427,-0.002078322915152045,0.10763606673112379,0.001007307756870575,0.000920031480769822,4.838760095672272e-05
10.0,12.342823619605037,3.000018269500011,-0.09301745445197354,-0.0001374181434925526,-1.4829064940355746e-06,0.002358746971569486,0.027566868956353786,3.4095023107673867,-7.2157,-0.3464260591,0.0,-0.4094840412673757,-0.000383547167910508,-4.138933707063723e-06,0.006583488160804572,0.039658908046461626,-0.0020783591875489574,0.10763608192168084,0.001036849039253365,0.0009200270780396761,5.370878253456568e-05
