,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,12.338467947290626,2.9992209238652565,-2.2839225056160046,-0.004539429551969098,-0.00026917117212085084,0.07628461008012036,0.005199219634096297,3.406114154595331,-7.2157,0.0,-1.978588842,-0.40689323073007433,-0.012674454294763174,-0.0007515476734370036,0.2129927984970957,0.03965801995853563,-0.0021049931247461157,0.107666382821069,0.024984401042015422,-0.00035785184410539166,0.00017568405666931568
2.0,12.338462552935864,2.9987939700593955,-2.3589271332825685,-0.004536246358787981,-0.0005446930122117995,0.07628470327823117,0.00520127035407809,3.4057002447032576,-7.2157,0.0,-1.978588842,-0.4069062746438621,-0.012665572099423487,-0.0015208275901628886,0.21299315183395723,0.039657927657832194,-0.00212844611348096,0.10770768724336427,0.025943697740639267,-0.00035796476752647825,0.0003513485385263429
3.0,12.338455269833798,2.9980926008188926,-2.4338789036735013,-0.0045309619355035375,-0.0008194793601594462,0.0762848426069411,0.005206825267896148,3.405011162059935,-7.2157,0.0,-1.978588842,-0.4069185612410422,-0.01265082502343095,-0.002288054974476007,0.2129936665762635,0.03965727938243945,-0.002154560102047981,0.10774177734990234,0.02690179643709955,-0.00035815073259450167,0.0005269951551878475
4.0,12.338446661849384,2.9971178663352966,-2.508777820618388,-0.00452360295555115,-0.001093365899870921,0.07628503588195874,0.005217608647048105,3.404047718668965,-7.2157,0.0,-1.978588842,-0.4069298523336684,-0.012630286946945304,-0.003052771250940229,0.21299435481285864,0.03965607658442474,-0.0021833124091035425,0.10776864840501782,0.027858660366256446,-0.0003584092973685791,0.0007026261594905697
5.0,12.338437287156271,2.9958709842783278,-2.583623900527023,-0.0045142027442871754,-0.001366190648224357,0.07628529326426804,0.0052353164739501875,3.402810887445456,-7.2157,0.0,-1.978588842,-0.40693990316712814,-0.012604050328365021,-0.003814524216962372,0.21299523527908087,0.039654321063192915,-0.002214678868880486,0.10778830043288037,0.028814253649120485,-0.00035873992729909337,0.0008782432954904783
6.0,12.338427697885898,2.994353336701802,-2.658417175037519,-0.004502801147564082,-0.0016377944344804032,0.07628562718887051,0.005261610200864661,3.401301799684026,-7.2157,0.0,-1.978588842,-0.406948462982224,-0.012572225840425487,-0.00457286938412075,0.21299633316381839,0.03965201496118262,-0.0022486338977054793,0.10780073823073817,0.029768541355370437,-0.00035914199708710136,0.0010538478154424376
7.0,12.338418439785,2.992566466445203,-2.733157693573375,-0.004489444375903433,-0.0019080213683013798,0.07628605228067128,0.005298110643520113,3.3995217420611388,-7.2157,0.0,-1.978588842,-0.4069552756159358,-0.01253494193803402,-0.005327371288206037,0.21299767988051152,0.039649160758488886,-0.00228515056462094,0.10780597136695713,0.03072148956181748,-0.0003596147928778813,0.0012294404993050834
8.0,12.338410051882647,2.9905120730456494,-2.80784552579547,-0.0044741848249136565,-0.002176719294580553,0.07628658525818244,0.00534639203202536,3.3974721531838568,-7.2157,0.0,-1.978588842,-0.4069600801382074,-0.012492344359616806,-0.00607760476292957,0.21299931280395262,0.039645761266432406,-0.0023242006658242484,0.10780401416388172,0.0316730654065397,-0.0003601575147786327,0.0014050216766217961
9.0,12.338403066167894,2.988192008176909,-2.8824807639357757,-0.0044570808726921915,-0.0024437402333481384,0.07628724482580652,0.005407976241056959,3.3951546196988374,-7.2157,0.0,-1.978588842,-0.40696261152192825,-0.0124445955640137,-0.006823156172429245,0.21300127497498575,0.03964181962010113,-0.0023657548026231323,0.10779488566560477,0.03262323713843764,-0.00036076927968893893,0.0015805912506121284
10.0,12.338398007279071,2.98560827063398,-2.9570635250004482,-0.004438196655040802,-0.0027089408030925273,0.07628805155554529,0.005484327220597484,3.3925708719770773,-7.2157,0.0,-1.978588842,-0.40696260134309714,-0.012391874105208336,-0.007563624597900101,0.2130036147754406,0.03963733926989299,-0.002409782462594129,0.10777860959079522,0.03357197416199103,-0.00036144912443126403,0.0017561487242927576
