,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,12.517532175243774,2.7581882885934044,0.0,0.0,-2.3367193526750843e-09,0.0,0.0,3.2354807992470485,-6.6881992803,0.0,0.0,-0.4772925106536441,0.0,-6.430978612450737e-09,0.0,0.038567868758490956,-0.0018580723066362256,0.09889581502079142,0.0,0.0,0.0
2.0,12.51753069213132,2.7581882883427107,0.0,0.0,-4.857469662223354e-09,0.0,0.0,3.2354807956652176,-6.6881992803,0.0,0.0,-0.47729250732250694,0.0,-1.3368437751767328e-08,0.0,0.038567868764394435,-0.0018580724803418172,0.09889581548442553,0.0,0.0,0.0
3.0,12.517529219394566,2.7581882854670114,0.0,0.0,-7.560512141018858e-09,0.0,0.0,3.235480789471345,-6.6881992803,0.0,0.0,-0.47729250400433365,0.0,-2.0807592192758413e-08,0.0,0.03856786876578764,-0.0018580726926667873,0.09889581591466717,0.0,0.0,0.0
4.0,12.517527756966313,2.7581882797872326,0.0,0.0,-1.0444107873577926e-08,0.0,0.0,3.235480780484009,-6.6881992803,0.0,0.0,-0.4772925006967763,0.0,-2.8743656353749426e-08,0.0,0.03856786876232702,-0.001858072945283007,0.09889581630659502,0.0,0.0,0.0
5.0,12.517526304780226,2.7581882711261323,0.0,0.0,-1.35065177905823e-08,0.0,0.0,3.2354807685235247,-6.6881992803,0.0,0.0,-0.47729249739739243,0.0,-3.717184422515417e-08,0.0,0.03856786875367249,-0.0018580732398440283,0.0988958166553349,0.0,0.0,0.0
6.0,12.517524862770825,2.7581882593083002,0.0,0.0,-1.674600264539278e-08,0.0,0.0,3.2354807534119483,-6.6881992803,0.0,0.0,-0.47729249410364805,0.0,-4.608736930489957e-08,0.0,0.038567868739487435,-0.0018580735779850782,0.09889581695605948,0.0,0.0,0.0
7.0,12.517523430873478,2.758188244160157,0.0,0.0,-2.016082298960677e-08,0.0,0.0,3.2354807349730743,-6.6881992803,0.0,0.0,-0.47729249081291725,0.0,-5.548544453121811e-08,0.0,0.03856786871943872,-0.0018580739613230646,0.09889581720398845,0.0,0.0,0.0
8.0,12.517522009024386,2.7581882255099526,0.0,0.0,-2.3749239152130542e-08,0.0,0.0,3.235480713032437,-6.6881992803,0.0,0.0,-0.47729248752248443,0.0,-6.536128222511227e-08,0.0,0.038567868693196665,-0.0018580743914566114,0.09889581739438844,0.0,0.0,0.0
9.0,12.517520597160575,2.7581882031877663,0.0,0.0,-2.7509511218706685e-08,0.0,0.0,3.2354806874173105,-6.6881992803,0.0,0.0,-0.4772924842295443,0.0,-7.571009403407082e-08,0.0,0.03856786866043504,-0.0018580748699660171,0.09889581752257293,0.0,0.0,0.0
10.0,12.517519195219885,2.7581881770255054,0.0,0.0,-3.1439899014421404e-08,0.0,0.0,3.235480657956709,-6.6881992803,0.0,0.0,-0.4772924809312036,0.0,-8.652709088398497e-08,0.0,0.038567868620831086,-0.0018580753984132961,0.09889581758390231,0.0,0.0,0.0
11.0,12.517517803140965,2.758188146856905,0.0,0.0,-3.553866208582673e-08,0.0,0.0,3.2354806244813874,-6.6881992803,0.0,0.0,-0.47729247762448246,0.0,-9.780748293000398e-08,0.0,0.03856786857406553,-0.0018580759783422066,0.0988958175737839,0.0,0.0,0.0
12.0,12.51751642086326,2.758188112517527,0.0,0.0,-3.980405968506791e-08,0.0,0.0,3.23548058682384,-6.6881992803,0.0,0.0,-0.47729247430631316,0.0,-1.0954647951290825e-07,0.0,0.03856786851982251,-0.001858076611278174,0.09889581748767179,0.0,0.0,0.0
13.0,12.517515048326999,2.7581880738447593,0.0,0.0,-4.4234350756614936e-08,0.0,0.0,3.2354805448183033,-6.6881992803,0.0,0.0,-0.477292470973544,0.0,-1.2173928912264856e-07,0.0,0.038567868457789665,-0.001858077298728382,0.09889581732106689,0.0,0.0,0.0
14.0,12.51751368547319,2.7581880306778155,0.0,0.0,-4.882779392374918e-08,0.0,0.0,3.2354804983007543,-6.6881992803,0.0,0.0,-0.47729246762293887,0.0,-1.3438111936121056e-07,0.0,0.03856786838765808,-0.0018580780421817503,0.09889581706951694,0.0,0.0,0.0
15.0,12.51751233224361,2.758187982857733,0.0,0.0,-5.358264747791448e-08,0.0,0.0,3.235480447108912,-6.6881992803,0.0,0.0,-0.4772924642511791,0.0,-1.474671769133616e-07,0.0,0.038567868309122254,-0.0018580788431089013,0.09889581672861644,0.0,0.0,0.0
