,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg)
1.0,13.925598457814466,0.5949999294996863,0.0,0.0,2.3854910869664293e-08,0.0,0.0,1.0415000119362428
2.0,13.925596925419404,0.594999882761683,0.0,0.0,4.760435350975822e-08,0.0,0.0,1.0415000476746659
3.0,13.925595402729599,0.5949998596647145,0.0,0.0,7.12482831377779e-08,0.0,0.0,1.041500107109779
4.0,13.925593889660494,0.5949998600875404,0.0,0.0,9.478665083754582e-08,0.0,0.0,1.0415001901360448
5.0,13.925592386128189,0.594999883908952,0.0,0.0,1.1821940360704844e-07,0.0,0.0,1.0415002966478755
6.0,13.92559089204943,0.5949999310077683,0.0,0.0,1.4154648440595663e-07,0.0,0.0,1.041500426539628
7.0,13.925589407341604,0.5950000012628315,0.0,0.0,1.6476783220307658e-07,0.0,0.0,1.0415005797056
8.0,13.925587931922745,0.5950000945530034,0.0,0.0,1.8788338202357396e-07,0.0,0.0,1.0415007560400265
9.0,13.925586465711518,0.5950002107571616,0.0,0.0,2.1089306499664734e-07,0.0,0.0,1.041500955437075
10.0,13.925585008627223,0.595000349754195,0.0,0.0,2.3379680840214022e-07,0.0,0.0,1.0415011777908432
11.0,13.925583560589788,0.5950005114230008,0.0,0.0,2.565945357176287e-07,0.0,0.0,1.0415014229953532
12.0,13.925582121519762,0.5950006956424801,0.0,0.0,2.792861666654565e-07,0.0,0.0,1.0415016909445491
13.0,13.925580691338318,0.5950009022915347,0.0,0.0,3.018716172594498e-07,0.0,0.0,1.041501981532293
14.0,13.925579269967246,0.5950011312490626,0.0,0.0,3.2435079985151804e-07,0.0,0.0,1.0415022946523609
15.0,13.925577857328946,0.5950013823939555,0.0,0.0,3.4672362317811905e-07,0.0,0.0,1.0415026301984396
16.0,13.925576453346428,0.5950016556050943,0.0,0.0,3.689899924068919e-07,0.0,0.0,1.0415029880641227
17.0,13.925575057943307,0.595001950761346,0.0,0.0,3.9114980918270967e-07,0.0,0.0,1.0415033681429071
18.0,13.9255736710438,0.5950022677415602,0.0,0.0,4.1320297167407247e-07,0.0,0.0,1.0415037703281897
19.0,13.925572292572719,0.5950026064245656,0.0,0.0,4.3514937461923e-07,0.0,0.0,1.041504194513264
20.0,13.925570922455469,0.5950029666891665,0.0,0.0,4.5698890937202717e-07,0.0,0.0,1.0415046405913162
21.0,13.92556956061805,0.5950033484141399,0.0,0.0,4.78721463947738e-07,0.0,0.0,1.0415051084554225
22.0,13.925568206987041,0.5950037514782317,0.0,0.0,5.003469230687643e-07,0.0,0.0,1.0415055979985455
23.0,13.925566861489608,0.5950041757601537,0.0,0.0,5.218651682106562e-07,0.0,0.0,1.0415061091135307
24.0,13.925565524053498,0.5950046211385805,0.0,0.0,5.43276077647122e-07,0.0,0.0,1.0415066416931034
25.0,13.925564194607027,0.5950050874921462,0.0,0.0,5.645795264959852e-07,0.0,0.0,1.0415071956298658
26.0,13.925562873079087,0.5950055746994414,0.0,0.0,5.857753867641958e-07,0.0,0.0,1.0415077708162936
27.0,13.925561559399139,0.5950060826390099,0.0,0.0,6.068635273930123e-07,0.0,0.0,1.041508367144733
28.0,13.925560253497203,0.5950066111893463,0.0,0.0,6.278438143033578e-07,0.0,0.0,1.0415089845073973
29.0,13.925558955303867,0.5950071602288924,0.0,0.0,6.48716110440573e-07,0.0,0.0,1.0415096227963647
30.0,13.925557664750272,0.5950077296360348,0.0,0.0,6.694802758196199e-07,0.0,0.0,1.0415102819035746
31.0,13.925556381768114,0.5950083192891014,0.0,0.0,6.901361675695155e-07,0.0,0.0,1.0415109617208251
32.0,13.925555106289641,0.5950089290663593,0.0,0.0,7.106836399782795e-07,0.0,0.0,1.04151166213977
33.0,13.925553838247648,0.5950095588460117,0.0,0.0,7.311225445375522e-07,0.0,0.0,1.0415123830519157
34.0,13.925552577575472,0.5950102085061951,0.0,0.0,7.514527299868812e-07,0.0,0.0,1.0415131243486193
35.0,13.925551324206992,0.595010877924977,0.0,0.0,7.716740423581797e-07,0.0,0.0,1.0415138859210846
