,cn_b,cn_p,cn_r,cn_da,cn_dr
-15,-0.0012512356,0.00020756572,-0.07462774,-0.0040923953,-0.0049217865
-12,-0.0015292913,0.00020174682,-0.073872924,-0.0017356277,-0.0044823736
-9,-0.0017968267,0.00019107759,-0.07283111,-0.00042770803,-0.0042816624
-6,-0.002056107,0.00017310679,-0.070859656,-0.00010210276,-0.0043240413
-3,-0.002314955,0.00014513731,-0.06719141,-0.00028082728,-0.004565589
0,-0.002492413,0.00010663271,-0.065066785,-0.00046688318,-0.004789114
3,-0.0023152232,6.5632164e-05,-0.06759048,-0.00081546605,-0.004674971
6,-0.002095595,5.4195523e-05,-0.07085777,-0.0012983978,-0.004452519
9,-0.0019130707,0.00015185028,-0.073094785,-0.0016521662,-0.004403554
12,-0.0017376989,0.00046319515,-0.07427721,-0.0018428862,-0.004477598
15,-0.0015632957,0.0007020384,-0.074613824,-0.0019308329,-0.0046000704
18,-0.0013886988,-0.0021465048,-0.07430337,-0.001967743,-0.0047387257
