,croll_b,croll_p,croll_r,croll_da,croll_dr
-15,0.00088849664,-0.003845416,0.0006001934,-0.00039230287,0.0026520789
-12,0.0006764531,-0.003845416,0.00050452794,-0.0009639263,0.0020286888
-9,0.0004645139,-0.003845416,0.00036579813,-0.0015237033,0.0015393049
-6,0.0002542138,-0.003845416,9.003724e-05,-0.0020292997,0.0011603683
-3,6.2286854e-05,-0.003843695,-0.00042181765,-0.0027945787,0.0008575022
0,-1.1458993e-05,-0.0014652312,-0.0005761639,-0.0058309883,0.0005733967
3,-4.1127205e-05,-0.0027958527,4.2903936e-05,-0.002791196,0.00022474676
6,-0.00022353232,-0.0031827614,0.00040289806,-0.0014854074,-0.00022343546
9,-0.00044113398,-0.0028330013,0.00017351657,-0.0012390614,-0.0006309524
12,-0.0006621778,-0.0020258203,-0.00058816746,-0.0011989474,-0.00083972514
15,-0.00088344514,-0.0010037795,-0.0017990719,-0.001192838,-0.0008742437
18,-0.0011040419,5.9612095e-05,-0.0033813424,-0.0011919439,-0.0008209944
