,cy_b,cy_p,cy_r,cy_da,cy_dr
-15,-0.022408329,-0.00019082427,0.03659887,0.00030001998,0.00666371
-12,-0.020534188,-0.00020876527,0.033892363,0.00080013275,0.0048026443
-9,-0.018345937,-0.00022922456,0.02998674,0.0009774715,0.0043543503
-6,-0.015802994,-0.0002510324,0.026150867,0.0008556843,0.004495658
-3,-0.01293394,-0.00027094036,0.023307726,0.0006208122,0.0047660023
0,-0.0110988915,-0.0002808571,0.021887064,0.0006416738,0.0049338043
3,-0.013015017,-0.00026207417,0.022376776,0.0008817911,0.004897602
6,-0.01586093,-0.00017273426,0.025574774,0.0010633916,0.0046445504
9,-0.01804556,7.82907e-05,0.032021634,0.0011479706,0.004272595
12,-0.019956142,0.00068306923,0.03854552,0.0011809319,0.004091479
15,-0.021798119,0.0020226687,0.027121536,0.0011927187,0.0048177093
18,-0.023622736,0.00476332,-0.039088234,0.001196742,0.007814899
