alpha,cd0,cd_q,cd_de,clift0,clift_q,clift_de,cm0,cm_q,cm_de
-18,0.124,-0.001,0.0025,-0.292,0.032,0.0056,-0.359,-0.074,-0.0058
-15,0.091,-0.002,0.0018,-0.233,0.032,0.0054,-0.314,-0.075,-0.0053
-12,0.064,-0.001,0.0011,-0.177,0.031,0.005,-0.263,-0.073,-0.0048
-9,0.044,0.001,0.0004,-0.123,0.029,0.0044,-0.206,-0.071,-0.0042
-6,0.035,0.002,0.0001,-0.077,0.026,0.0041,-0.141,-0.069,-0.0038
-3,0.031,0.001,-0.0002,-0.034,0.022,0.004,-0.073,-0.065,-0.0038
0,0.03,0,-0.0005,0,0.021,0.0044,0,-0.065,-0.0042
3,0.031,-0.001,-0.0012,0.034,0.025,0.005,0.073,-0.068,-0.0048
6,0.035,-0.002,-0.0021,0.077,0.028,0.0054,0.141,-0.071,-0.0054
9,0.044,0.001,-0.0028,0.123,0.03,0.0056,0.206,-0.073,-0.0056
12,0.064,0.002,-0.0032,0.177,0.032,0.0054,0.263,-0.075,-0.0056
15,0.091,0.001,-0.0036,0.233,0.032,0.005,0.314,-0.075,-0.0055
18,0.124,0,-0.0039,0.292,0.03,0.0045,0.359,-0.073,-0.0052
21,0.162,0,-0.0042,0.35,0.029,0.0038,0.398,-0.071,-0.0048
24,0.206,0,-0.0043,0.406,0.027,0.0031,0.431,-0.069,-0.0043
27,0.257,0,-0.0042,0.461,0.024,0.0024,0.456,-0.067,-0.0038
30,0.312,0,-0.0041,0.514,0.022,0.0015,0.472,-0.065,-0.0032
