V,alpha,beta,p,q,r,phi,theta,elevator,aileron,rudder,eta,type
13.925598815599999,0.5949041365,0.0,0.0,0.0,0.0,0.0,1.0415208740000002,-1.5636673674000001,0.0,0.0,0.1836,elevator
13.9246038949,0.5968055561,0.0,0.0,0.0,0.0,0.0,1.0439455407,-1.56854277,0.0,0.0,0.1836,elevator
13.923310495399999,0.5992771642,0.0,0.0,0.0,0.0,0.0,1.0470962345000001,-1.5748798748,0.0,0.0,0.1836,elevator
13.9216290552,0.6024871463,0.0,0.0,0.0,0.0,0.0,1.0511862245999999,-1.5831082599000001,0.0,0.0,0.1836,elevator
13.9194431479,0.6066548962,0.0,0.0,0.0,0.0,0.0,1.0564932617,-1.5937885929,0.0,0.0,0.1836,elevator
13.9166014096,0.6120641960000001,0.0,0.0,0.0,0.0,0.0,1.0633756835,-1.6076452029,0.0,0.0,0.1836,elevator
13.912907051400001,0.6190815815999999,0.0,0.0,0.0,0.0,0.0,1.0722947586,-1.6256121579,0.0,0.0,0.1836,elevator
13.9081042216,0.6281796058,0.0,0.0,0.0,0.0,0.0,1.0838425328,-1.6488912093,0.0,0.0,0.1836,elevator
13.9018602702,0.6399660897,0.0,0.0,0.0,0.0,0.0,1.0987760762,-1.6790239584,0.0,0.0,0.1836,elevator
13.8937426829,0.6552205784,0.0,0.0,0.0,0.0,0.0,1.1180588565,-1.7179806306999998,0.0,0.0,0.1836,elevator
13.8837906993,0.6738185815000001,0.0,0.0,0.0,0.0,0.0,1.141499433,-1.7654116824000001,0.0,0.0,0.1836,elevator
13.8738379947,0.6923067270000001,0.0,0.0,0.0,0.0,0.0,1.1647263506999999,-1.8124928392,0.0,0.0,0.1836,elevator
13.8638845927,0.7106880162,0.0,0.0,0.0,0.0,0.0,1.1877442522,-1.8592332091,0.0,0.0,0.1836,elevator
13.8539305157,0.7289653314,0.0,0.0,0.0,0.0,0.0,1.2105576006,-1.9056415376,0.0,0.0,0.1836,elevator
13.8439757851,0.7471414426999999,0.0,0.0,0.0,0.0,0.0,1.2331706895,-1.9517262272999998,0.0,0.0,0.1836,elevator
13.834020421199998,0.765219014,0.0,0.0,0.0,0.0,0.0,1.2555876513,-1.9974953569,0.0,0.0,0.1836,elevator
13.8240644436,0.7832006086,0.0,0.0,0.0,0.0,0.0,1.2778124666,-2.0429566977,0.0,0.0,0.1836,elevator
13.8141078709,0.8010886945,0.0,0.0,0.0,0.0,0.0,1.2998489709999999,-2.0881177304,0.0,0.0,0.1836,elevator
13.8041507209,0.8188856493000001,0.0,0.0,0.0,0.0,0.0,1.3217008632,-2.1329856593,0.0,0.0,0.1836,elevator
13.794193010599999,0.8365937645999999,0.0,0.0,0.0,0.0,0.0,1.3433717115000001,-2.1775674269,0.0,0.0,0.1836,elevator
13.784234756300002,0.8542152506,0.0,0.0,0.0,0.0,0.0,1.3648649603999998,-2.2218697269,0.0,0.0,0.1836,elevator
13.774275973699998,0.87175224,0.0,0.0,0.0,0.0,0.0,1.3861839362000001,-2.2658990162,0.0,0.0,0.1836,elevator
13.7643166776,0.8892067917,0.0,0.0,0.0,0.0,0.0,1.4073318531999999,-2.3096615267,0.0,0.0,0.1836,elevator
13.7543568826,0.9065808944,0.0,0.0,0.0,0.0,0.0,1.4283118187000001,-2.3531632761,0.0,0.0,0.1836,elevator
13.7443966023,0.9238764698,0.0,0.0,0.0,0.0,0.0,1.4491268379,-2.3964100778999997,0.0,0.0,0.1836,elevator
13.73443585,0.9410953761,0.0,0.0,0.0,0.0,0.0,1.469779819,-2.4394075511,0.0,0.0,0.1836,elevator
13.724474638399998,0.9582394106000001,0.0,0.0,0.0,0.0,0.0,1.490273577,-2.4821611288,0.0,0.0,0.1836,elevator
13.7145129798,0.9753103123000001,0.0,0.0,0.0,0.0,0.0,1.5106108383,-2.5246760675,0.0,0.0,0.1836,elevator
13.7045508858,0.9923097651,0.0,0.0,0.0,0.0,0.0,1.5307942446,-2.566957454,0.0,0.0,0.1836,elevator
13.6945883678,1.0092393999,0.0,0.0,0.0,0.0,0.0,1.5508263563,-2.6090102137,0.0,0.0,0.1836,elevator
13.684625436700001,1.0261007966,0.0,0.0,0.0,0.0,0.0,1.5707096565,-2.6508391176,0.0,0.0,0.1836,elevator
13.674662103,1.0428954872,0.0,0.0,0.0,0.0,0.0,1.5904465536,-2.6924487885,0.0,0.0,0.1836,elevator
13.6646983768,1.0596249568,0.0,0.0,0.0,0.0,0.0,1.6100393852000001,-2.7338437079,0.0,0.0,0.1836,elevator
13.6547342678,1.0762906465000002,0.0,0.0,0.0,0.0,0.0,1.6294904203,-2.7750282217,0.0,0.0,0.1836,elevator
13.6447697854,1.0928939545,0.0,0.0,0.0,0.0,0.0,1.6488018628,-2.816006546,0.0,0.0,0.1836,elevator
13.634804938699999,1.1094362384999998,0.0,0.0,0.0,0.0,0.0,1.6679758536000002,-2.8567827722000003,0.0,0.0,0.1836,elevator
13.6248397365,1.1259188169,0.0,0.0,0.0,0.0,0.0,1.6870144735,-2.8973608724,0.0,0.0,0.1836,elevator
13.6148741872,1.1423429707,0.0,0.0,0.0,0.0,0.0,1.7059197452000001,-2.9377447043,0.0,0.0,0.1836,elevator
13.604908298900002,1.1587099446,0.0,0.0,0.0,0.0,0.0,1.7246936361,-2.9779380154000004,0.0,0.0,0.1836,elevator
13.594942079600001,1.1750209489,0.0,0.0,0.0,0.0,0.0,1.7433380598,-3.0179444475999997,0.0,0.0,0.1836,elevator
13.5849755369,1.1912771606,0.0,0.0,0.0,0.0,0.0,1.7618548787000001,-3.0577675411,0.0,0.0,0.1836,elevator
13.5750086782,1.2074797246,0.0,0.0,0.0,0.0,0.0,1.7802459057,-3.0974107387,0.0,0.0,0.1836,elevator
13.565041510599999,1.2236297552,0.0,0.0,0.0,0.0,0.0,1.7985129061000003,-3.1368773894,0.0,0.0,0.1836,elevator
13.5550740411,1.239728337,0.0,0.0,0.0,0.0,0.0,1.8166575991,-3.1761707516000004,0.0,0.0,0.1836,elevator
13.5451062763,1.2557765262,0.0,0.0,0.0,0.0,0.0,1.8346816602,-3.215293997,0.0,0.0,0.1836,elevator
13.5351382228,1.2717753515,0.0,0.0,0.0,0.0,0.0,1.8525867219,-3.2542502133999998,0.0,0.0,0.1836,elevator
